possible_ticker_count,raw_sector_compound,date,has_observed_news,sector,ticker_coverage_share,observed_ticker_count,signal_window_trading_days,signal_window_actual_trading_days,signal_window_start_date,signal_window_end_date,latest_raw_news_date_used,trailing_coverage_weighted_sentiment,effective_coverage,expanding_prior_mean,expanding_prior_std,expanding_prior_observations,raw_trailing_zscore,clipped_trailing_zscore,coverage_adjusted_zscore,min_history_observations,zscore_clip_bound,zscore_std_ddof,exploratory_method_label
5,0.04762500000000001,2020-05-06,True,Financials,1.0,5,21,21,2020-04-06,2020-05-05,2020-05-05,0.09090090896440162,0.9714285714285714,0.10687597968014972,0.047897230072625516,85,-0.33352807023549086,-0.33352807023549086,-0.32872885498930826,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.16397444444444445,2020-05-06,True,Healthcare,1.0,5,21,21,2020-04-06,2020-05-05,2020-05-05,0.10634393841158649,0.9523809523809523,0.16306543200866633,0.031125823773466225,85,-1.8223290734375073,-1.8223290734375073,-1.7784110757038962,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.07561499999999999,2020-05-06,True,Industrials,0.8,4,21,21,2020-04-06,2020-05-05,2020-05-05,0.09767477296507815,0.9523809523809523,0.06265624894985986,0.02253024806130653,85,1.5542893233989352,1.5542893233989352,1.5168310640881473,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.02691071428571429,2020-05-06,True,Materials,0.8,4,21,21,2020-04-06,2020-05-05,2020-05-05,0.1390626494991936,0.8380952380952381,0.09145087667224913,0.03641879096528254,85,1.3073408414994345,1.3073408414994345,1.1968384012930366,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.03181666666666667,2020-05-06,True,RealEstate,0.8,4,21,21,2020-04-06,2020-05-05,2020-05-05,0.13153858918858918,0.7428571428571429,0.1059135589063422,0.04867015568824022,85,0.5265039718876131,0.5265039718876131,0.45378935461760683,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.16321416666666666,2020-05-06,True,Tech,0.8,4,21,21,2020-04-06,2020-05-05,2020-05-05,0.16533111971298106,0.9619047619047619,0.09086624039928887,0.0387337076579664,85,1.9224826079456643,1.9224826079456643,1.8855083365683285,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.19748416666666666,2020-05-06,True,Utilities,0.8,4,21,21,2020-04-06,2020-05-05,2020-05-05,0.16588845602727417,0.780952380952381,0.16851271298953394,0.056958738302160854,85,-0.04607294754912446,-0.04607294754912446,-0.040715359528465146,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.11492250000000001,2020-05-07,True,Comm,0.8,4,21,21,2020-04-07,2020-05-06,2020-05-06,0.08630708785307924,0.8285714285714286,0.09777989265839221,0.028572975255801904,86,-0.4015264319729306,-0.4015264319729306,-0.3654930443588481,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.09888166666666667,2020-05-07,True,Consumer,1.0,5,21,21,2020-04-07,2020-05-06,2020-05-06,0.10523474863377305,0.9619047619047619,0.06717939561067741,0.03535523163633892,86,1.076371197748892,1.076371197748892,1.055669818915175,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.1820947619047619,2020-05-07,True,Energy,1.0,5,21,21,2020-04-07,2020-05-06,2020-05-06,0.049764069343070635,0.9619047619047619,0.08554820228755093,0.034434065926031265,86,-1.0392073077094395,-1.0392073077094395,-1.0192206857999604,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.09306333333333335,2020-05-07,True,Financials,1.0,5,21,21,2020-04-07,2020-05-06,2020-05-06,0.08481868971306472,0.9714285714285714,0.1066902230439201,0.04764579925856007,86,-0.45904431599866447,-0.45904431599866447,-0.45243901744475634,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.13613055555555556,2020-05-07,True,Healthcare,0.6,3,21,21,2020-04-07,2020-05-06,2020-05-06,0.09786900546139493,0.9523809523809523,0.1624058797575375,0.03154092339197215,86,-2.0461314177177394,-2.0,-1.9518001458970664,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.02900833333333334,2020-05-07,True,Industrials,0.6,3,21,21,2020-04-07,2020-05-06,2020-05-06,0.09646320501523045,0.9428571428571428,0.0630634410895717,0.02271341979162971,86,1.4704859167868307,1.4704859167868307,1.4278540485483542,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.16212000000000001,2020-05-07,True,Materials,0.6,3,21,21,2020-04-07,2020-05-06,2020-05-06,0.13358670794075203,0.8380952380952381,0.09200450193767871,0.03656615310601789,86,1.137177484394165,1.137177484394165,1.041058031085261,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.32705666666666666,2020-05-07,True,RealEstate,0.8,4,21,21,2020-04-07,2020-05-06,2020-05-06,0.12207345779220781,0.7619047619047619,0.10621152437474042,0.04846185490843031,86,0.32730759991417674,0.32730759991417674,0.2856974956459117,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.24068199999999998,2020-05-07,True,Tech,1.0,5,21,21,2020-04-07,2020-05-06,2020-05-06,0.1591546263646563,0.9523809523809523,0.09173211108898296,0.03933352864701161,86,1.7141232326430444,1.7141232326430444,1.6728129877791227,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.14364333333333335,2020-05-07,True,Utilities,1.0,5,21,21,2020-04-07,2020-05-06,2020-05-06,0.1537820942386563,0.780952380952381,0.1684821983736937,0.05662340273194372,86,-0.25961181112035897,-0.25961181112035897,-0.22942287806377326,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.23475333333333334,2020-05-08,True,Comm,0.6,3,21,21,2020-04-08,2020-05-07,2020-05-07,0.08689971063259855,0.8285714285714286,0.0976480213387909,0.028432985284563252,87,-0.3780225888566049,-0.3780225888566049,-0.3440984598665929,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.06855406493506493,2020-05-08,True,Consumer,1.0,5,21,21,2020-04-08,2020-05-07,2020-05-07,0.09820415207411709,0.9619047619047619,0.06761681346151759,0.03538507735466281,87,0.8644135013758536,0.8644135013758536,0.8477886126772469,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.19152833333333333,2020-05-08,True,Energy,1.0,5,21,21,2020-04-08,2020-05-07,2020-05-07,0.0433004083341126,0.9619047619047619,0.08513689041462587,0.03444758436677088,87,-1.2144968319134137,-1.2144968319134137,-1.1911389428669865,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.05417266666666665,2020-05-08,True,Financials,1.0,5,21,21,2020-04-08,2020-05-07,2020-05-07,0.07314971912482941,0.9714285714285714,0.10643882610908267,0.047425982897673795,87,-0.7019170705661024,-0.7019170705661024,-0.6918170178052112,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.02470847222222223,2020-05-08,True,Healthcare,1.0,5,21,21,2020-04-08,2020-05-07,2020-05-07,0.10180355462405137,0.9333333333333333,0.16166407660470827,0.03211130200271832,87,-1.8641574226915347,-1.8641574226915347,-1.8009471684285694,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
