date,sector,raw_sector_finbert,sector_probability_positive,sector_probability_negative,sector_probability_neutral,observed_ticker_count,headline_count,possible_ticker_count,ticker_coverage_share,has_observed_news,sentiment_model,score_name,text_input_column,text_preprocessing,raw_index_purpose
2021-01-28,Healthcare,0.04520744215697048,0.08047196529805656,0.03526452314108604,0.8842635095119477,4,8,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-28,Industrials,0.0008049791539087685,0.14020263888873155,0.13939765973482277,0.7203997030481697,5,20,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-28,Materials,0.1879758882569149,0.23463713843375442,0.04666125017683949,0.7187015895809358,4,14,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-28,RealEstate,0.21210918016731742,0.25805508345365524,0.04594590328633777,0.6959990337491035,2,4,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-28,Tech,-0.18632990729788113,0.10785541460952822,0.2941853219074093,0.5979592533161243,4,14,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-28,Utilities,0.28082929820650154,0.30144142111142475,0.020612122904923202,0.677946494685279,3,5,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Comm,0.13477665226285657,0.18814259395003313,0.05336594168717658,0.7584914562602838,5,17,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Consumer,0.1265836972161196,0.20743649970326156,0.08085280248714191,0.711710684829288,4,17,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Energy,-0.6366386839912997,0.04541436065402293,0.6820530446453227,0.27253258595657015,3,19,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Financials,0.0668725498835556,0.33057753228349607,0.26370498239994045,0.4057174973189831,4,16,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Healthcare,0.11568329390138385,0.26882627637435985,0.15314298247297597,0.5780307138338685,4,6,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Industrials,-0.2845136860463148,0.07526690283945446,0.3597805888857692,0.564952492675123,4,19,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Materials,-0.1327533982694149,0.32637753710150713,0.45913093537092203,0.2144915610551834,2,2,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,RealEstate,0.025103504769504036,0.24073371384292838,0.21563020907342428,0.5436360388994217,2,3,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Tech,0.44014539779163897,0.47149311983957887,0.031347722047939855,0.4971591727808118,4,7,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-01-29,Utilities,0.0115867915252844,0.041203403224547665,0.0296166116992632,0.9291799267133077,3,3,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Comm,0.40552567762012276,0.44354117152591543,0.038015493905792605,0.5184433665126562,5,11,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Consumer,0.020368308690376563,0.14565593767911192,0.12528762898873533,0.7290563989896327,5,20,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Energy,-0.1020323212350239,0.12024099239797299,0.2222733136329969,0.6574857107843414,5,30,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Financials,0.008208902502277238,0.2063340480943831,0.19812514559210587,0.5955408302601427,4,18,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Healthcare,0.3824627044610679,0.40794782247394323,0.025485118012875268,0.5665670745074749,5,11,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Industrials,-0.2935749393169369,0.1164797921372311,0.41005473145416804,0.47346548562603336,5,19,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Materials,0.3437653069694837,0.44802614705016214,0.10426084008067842,0.44771300852298734,4,10,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,RealEstate,0.016158836583296435,0.050067545846104566,0.0339087092628081,0.9160237312316895,3,3,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
