base_fund,tilted_fund,decision_date,sector,base_sector_weight,tilted_sector_weight,sector_weight_difference
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Utilities,0.1,0.09497139009309788,-0.005028609906902126
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Comm,0.1,0.10041122034416633,0.00041122034416632425
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Consumer,0.1,0.10450258312662103,0.004502583126621024
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Energy,0.1,0.08200361209372385,-0.017996387906276154
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Financials,0.1,0.09779699370010597,-0.0022030062998940336
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Healthcare,0.1,0.10721537606543702,0.0072153760654370125
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Industrials,0.1,0.09498009293440726,-0.005019907065592744
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Materials,0.1,0.10073640478166995,0.000736404781669947
equity_equal_weight,equity_sentiment_tilt,2021-08-31,RealEstate,0.1,0.09022893983113532,-0.009771060168864684
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Tech,0.1,0.11458758592717258,0.014587585927172575
equity_equal_weight,equity_sentiment_tilt,2021-08-31,Utilities,0.1,0.1075371911955608,0.007537191195560788
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Comm,0.1,0.08524911808580099,-0.014750881914199016
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Consumer,0.1,0.11392742039876601,0.013927420398766002
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Energy,0.1,0.09478825133413117,-0.0052117486658688345
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Financials,0.1,0.09208684002417983,-0.007913159975820178
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Healthcare,0.1,0.11065246623641561,0.010652466236415609
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Industrials,0.1,0.10861804760406757,0.008618047604067564
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Materials,0.1,0.09270444951089016,-0.007295550489109848
equity_equal_weight,equity_sentiment_tilt,2021-09-30,RealEstate,0.1,0.09286096945420938,-0.007139030545790626
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Tech,0.1,0.10618882926342105,0.006188829263421042
equity_equal_weight,equity_sentiment_tilt,2021-09-30,Utilities,0.1,0.10292360808811815,0.002923608088118146
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Comm,0.1,0.0995712964254965,-0.0004287035745035028
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Consumer,0.1,0.08821205496970526,-0.011787945030294747
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Energy,0.1,0.10130366549876514,0.0013036654987651358
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Financials,0.1,0.11213620629887638,0.012136206298876379
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Healthcare,0.1,0.09925117183500337,-0.0007488281649966344
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Industrials,0.1,0.10706869046269676,0.007068690462696758
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Materials,0.1,0.09556880513495165,-0.004431194865048352
equity_equal_weight,equity_sentiment_tilt,2021-10-29,RealEstate,0.1,0.10329905628201823,0.003299056282018223
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Tech,0.1,0.11075050010493395,0.010750500104933947
equity_equal_weight,equity_sentiment_tilt,2021-10-29,Utilities,0.1,0.0828385529875528,-0.017161447012447206
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Comm,0.1,0.08509424852165581,-0.014905751478344192
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Consumer,0.1,0.09837142218450252,-0.0016285778154974812
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Energy,0.1,0.09378331307918263,-0.00621668692081738
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Financials,0.1,0.09865469036928033,-0.0013453096307196738
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Healthcare,0.1,0.10657430907289792,0.00657430907289791
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Industrials,0.1,0.09954086422276463,-0.0004591357772353727
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Materials,0.1,0.09954413878191459,-0.0004558612180854127
equity_equal_weight,equity_sentiment_tilt,2021-11-30,RealEstate,0.1,0.10232071121119976,0.002320711211199755
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Tech,0.1,0.10695836595134739,0.006958365951347384
equity_equal_weight,equity_sentiment_tilt,2021-11-30,Utilities,0.1,0.10915793660525433,0.009157936605254324
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Comm,0.1,0.09969583365543667,-0.0003041663445633308
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Consumer,0.1,0.09265981804576823,-0.007340181954231778
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Energy,0.1,0.09162356241613724,-0.008376437583862764
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Financials,0.1,0.11510625497844978,0.015106254978449779
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Healthcare,0.1,0.09949003237658952,-0.00050996762341049
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Industrials,0.1,0.0963081458566807,-0.003691854143319309
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Materials,0.1,0.09608054407413244,-0.003919455925867565
equity_equal_weight,equity_sentiment_tilt,2021-12-31,RealEstate,0.1,0.10207312674948184,0.0020731267494818323
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Tech,0.1,0.09874997609726695,-0.0012500239027330579
equity_equal_weight,equity_sentiment_tilt,2021-12-31,Utilities,0.1,0.10821270575005676,0.008212705750056754
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Comm,0.1,0.08247129625032873,-0.017528703749671276
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Consumer,0.1,0.09067782986280612,-0.009322170137193886
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Energy,0.1,0.1104225928023665,0.010422592802366501
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Financials,0.1,0.10333890427909673,0.0033389042790967216
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Healthcare,0.1,0.10191893344327413,0.0019189334432741234
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Industrials,0.1,0.10536324801150482,0.005363248011504812
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Materials,0.1,0.09643895198148615,-0.0035610480185138543
equity_equal_weight,equity_sentiment_tilt,2022-01-31,RealEstate,0.1,0.09680231860770423,-0.003197681392295773
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Tech,0.1,0.10740832356072898,0.007408323560728972
equity_equal_weight,equity_sentiment_tilt,2022-01-31,Utilities,0.1,0.10515760120070355,0.005157601200703549
equity_equal_weight,equity_sentiment_tilt,2022-02-28,Comm,0.1,0.1048711392799271,0.004871139279927092
